
2024/10/03 (09:32:26) | ===> btop++ v.1.4.0
2024/10/03 (09:32:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (09:20:15) | ===> btop++ v.1.4.0
2024/10/09 (09:20:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (09:20:21) | ===> btop++ v.1.4.0
2024/10/09 (09:20:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (09:39:10) | ===> btop++ v.1.4.0
2024/10/10 (09:39:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:03:21) | ===> btop++ v.1.4.0
2024/10/18 (12:03:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:32:57) | ===> btop++ v.1.4.0
2024/10/18 (19:32:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (19:47:16) | ===> btop++ v.1.4.0
2024/10/19 (19:47:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (12:59:36) | ===> btop++ v.1.4.0
2024/10/21 (12:59:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (18:08:55) | ===> btop++ v.1.4.0
2024/10/22 (18:08:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (18:09:41) | ===> btop++ v.1.4.0
2024/10/22 (18:09:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (13:07:38) | ===> btop++ v.1.4.0
2024/10/26 (13:07:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (14:40:00) | ===> btop++ v.1.4.0
2024/10/26 (14:40:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (16:27:17) | ===> btop++ v.1.4.0
2024/10/26 (16:27:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (16:53:01) | ===> btop++ v.1.4.0
2024/10/26 (16:53:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (17:51:13) | ===> btop++ v.1.4.0
2024/10/27 (17:51:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (17:53:08) | ===> btop++ v.1.4.0
2024/10/27 (17:53:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:17:29) | ===> btop++ v.1.4.0
2024/10/29 (11:17:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:17:49) | ===> btop++ v.1.4.0
2024/10/29 (11:17:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:18:01) | ===> btop++ v.1.4.0
2024/10/29 (11:18:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (15:14:40) | ===> btop++ v.1.4.0
2024/10/29 (15:14:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (12:56:08) | ===> btop++ v.1.4.0
2024/10/30 (12:56:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/30 (12:56:32) | ===> btop++ v.1.4.0
2024/10/30 (12:56:32) | WARNING: Intel GPU: Failed to initialize PMU
